report_year,facility_id,jurisdiction_code,facility_name,registered_business_name,primary_anzsic_class_name,substance_id,substance_name,air_total_emission_kg,suburb,state,postcode,latitude,longitude,report_year_1,postalcode_2,pr_rank
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,69,Oxides of Nitrogen,21347118.19,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,92,Particulate Matter ?2.5 ‘m (PM2.5),511510.585,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,70,Particulate Matter ?10.0 ‘m (PM10),4097618,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,526972,VIC,AGL Loy Yang,AGL LOY YANG PTY LTD,Fossil Fuel Electricity Generation,77,Sulfur dioxide,51741378.92,Traralgon,VIC,3844,-38.251662,146.589831,10,38,
2016/2017,535358,VIC,AGL Somerton Power Station,AGL POWER GENERATION PTY LIMITED,Fossil Fuel Electricity Generation,20,Carbon monoxide,8889.744,Somerton,VIC,3062,-37.629781,144.950082,10,30,
2016/2017,535358,VIC,AGL Somerton Power Station,AGL POWER GENERATION PTY LIMITED,Fossil Fuel Electricity Generation,69,Oxides of Nitrogen,27725,Somerton,VIC,3062,-37.629781,144.950082,10,30,
2016/2017,535358,VIC,AGL Somerton Power Station,AGL POWER GENERATION PTY LIMITED,Fossil Fuel Electricity Generation,92,Particulate Matter ?2.5 ‘m (PM2.5),1150.214,Somerton,VIC,3062,-37.629781,144.950082,10,30,
2016/2017,535358,VIC,AGL Somerton Power Station,AGL POWER GENERATION PTY LIMITED,Fossil Fuel Electricity Generation,70,Particulate Matter ?10.0 ‘m (PM10),1192.815,Somerton,VIC,3062,-37.629781,144.950082,10,30,
2016/2017,535358,VIC,AGL Somerton Power Station,AGL POWER GENERATION PTY LIMITED,Fossil Fuel Electricity Generation,77,Sulfur dioxide,88.2003,Somerton,VIC,3062,-37.629781,144.950082,10,30,
2016/2017,524948,VIC,AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,Natural Rubber Product Manufacturing,20,Carbon monoxide,797,Dandenong,VIC,3175,-38.00193,145.224475,10,31,
2016/2017,524948,VIC,AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,Natural Rubber Product Manufacturing,69,Oxides of Nitrogen,483,Dandenong,VIC,3175,-38.00193,145.224475,10,31,
2016/2017,524948,VIC,AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,Natural Rubber Product Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),32,Dandenong,VIC,3175,-38.00193,145.224475,10,31,
2016/2017,524948,VIC,AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,Natural Rubber Product Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),180,Dandenong,VIC,3175,-38.00193,145.224475,10,31,
2016/2017,524948,VIC,AIRSTEP AUSTRALIA PTY LTD,AIRSTEP AUSTRALIA PTY LTD,Natural Rubber Product Manufacturing,77,Sulfur dioxide,5,Dandenong,VIC,3175,-38.00193,145.224475,10,31,
2016/2017,525326,VIC,Akzo Nobel Pty Limited,AKZO NOBEL PTY LIMITED,Paint and Coatings Manufacturing,20,Carbon monoxide,1074.078,Sunshine,VIC,3020,-37.770685,144.828274,10,30,
2016/2017,525326,VIC,Akzo Nobel Pty Limited,AKZO NOBEL PTY LIMITED,Paint and Coatings Manufacturing,69,Oxides of Nitrogen,913.091,Sunshine,VIC,3020,-37.770685,144.828274,10,30,
2016/2017,525326,VIC,Akzo Nobel Pty Limited,AKZO NOBEL PTY LIMITED,Paint and Coatings Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),312.174,Sunshine,VIC,3020,-37.770685,144.828274,10,30,
2016/2017,525326,VIC,Akzo Nobel Pty Limited,AKZO NOBEL PTY LIMITED,Paint and Coatings Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),312.174,Sunshine,VIC,3020,-37.770685,144.828274,10,30,
2016/2017,525326,VIC,Akzo Nobel Pty Limited,AKZO NOBEL PTY LIMITED,Paint and Coatings Manufacturing,77,Sulfur dioxide,10.163,Sunshine,VIC,3020,-37.770685,144.828274,10,30,
2016/2017,529356,VIC,Alcoa Point Henry Smelter,ALCOA OF AUSTRALIA LIMITED,Aluminium Smelting,20,Carbon monoxide,21312,Point Henry,VIC,3221,-38.134904,144.424923,10,32,
2016/2017,529356,VIC,Alcoa Point Henry Smelter,ALCOA OF AUSTRALIA LIMITED,Aluminium Smelting,69,Oxides of Nitrogen,1746,Point Henry,VIC,3221,-38.134904,144.424923,10,32,
2016/2017,529356,VIC,Alcoa Point Henry Smelter,ALCOA OF AUSTRALIA LIMITED,Aluminium Smelting,92,Particulate Matter ?2.5 ‘m (PM2.5),92,Point Henry,VIC,3221,-38.134904,144.424923,10,32,
2016/2017,529356,VIC,Alcoa Point Henry Smelter,ALCOA OF AUSTRALIA LIMITED,Aluminium Smelting,70,Particulate Matter ?10.0 ‘m (PM10),1806,Point Henry,VIC,3221,-38.134904,144.424923,10,32,
2016/2017,529376,VIC,Alcoa Portland Aluminium,ALCOA PORTLAND ALUMINIUM PTY LTD,Aluminium Smelting,20,Carbon monoxide,30565101,Portland,VIC,3305,-38.376902,141.631055,10,33,
2016/2017,529376,VIC,Alcoa Portland Aluminium,ALCOA PORTLAND ALUMINIUM PTY LTD,Aluminium Smelting,69,Oxides of Nitrogen,190789,Portland,VIC,3305,-38.376902,141.631055,10,33,
